refund_id,payment_id,user_id,refund_date,refund_amount_inr,refund_reason
837,7670,3097,09-Dec-25,0,Accidental purchase
838,3423,7428,22-Apr-25,0,Accidental purchase
848,8149,997,12-Oct-25,0,Charged twice
873,10328,4103,16-Dec-25,0,Accidental purchase
875,8611,2185,15-Jun-25,0,Other
882,3239,5768,10-Aug-25,0,Charged twice
886,4831,3210,11-Oct-25,0,Not satisfied
891,3513,5616,05-Jun-25,0,Not satisfied
900,1590,7328,01-Feb-25,0,Not satisfied
903,108,1572,21-Sep-25,0,Other
914,10969,2858,13-Jun-25,0,Charged twice
918,5991,7156,23-Mar-25,0,Charged twice
920,7256,4373,28-Aug-25,0,Charged twice
928,1885,5036,07-Jan-25,0,Accidental purchase
934,8129,7086,11-Mar-25,0,Accidental purchase
965,6146,2418,01-May-25,0,Accidental purchase
1011,8731,3606,31-Aug-25,0,Charged twice
1035,11632,5339,01-May-25,0,Accidental purchase
1038,3721,3783,19-May-25,0,Charged twice
1044,4795,7166,03-Jul-25,0,Other
1046,4463,2452,19-Oct-25,0,Other
1053,3455,2854,19-Mar-25,0,Accidental purchase
1062,9382,3259,08-Jan-25,0,Not satisfied
1063,761,7832,13-Sep-25,0,App issues
1065,6256,3501,11-Jan-26,0,Charged twice
1066,6619,2530,18-May-25,0,Accidental purchase
1069,9224,7572,15-Dec-25,0,Charged twice
1070,11374,5340,24-Jul-25,0,Charged twice
1083,6416,7823,02-Mar-25,0,Other
1091,9419,2154,09-Oct-25,0,Not satisfied
1143,8631,7166,20-Aug-25,0,Not satisfied
1144,9940,5437,01-Feb-25,0,Charged twice
1150,1508,1551,04-May-25,0,Charged twice
1153,11521,80,02-Dec-25,0,Not satisfied
1162,10264,7053,16-Jan-25,0,Charged twice
6,8455,3939,28-Jun-25,135,Not satisfied
13,6064,2369,14-Sep-25,3999,Not satisfied
16,7985,1846,09-Jul-25,1990,Not satisfied
27,8547,2819,08-Aug-25,184,Not satisfied
39,4376,7151,29-Nov-25,701,Not satisfied
41,5952,6869,18-Mar-25,2,Not satisfied
43,6835,4144,30-Sep-25,210,Not satisfied
46,2455,5653,15-May-25,200,Not satisfied
50,1312,4553,11-Jan-26,2001,Not satisfied
52,10119,2818,18-May-25,187,Not satisfied
55,2308,1266,27-Nov-25,705,Not satisfied
56,8982,3955,09-Aug-25,1,Not satisfied
59,9138,953,10-Dec-25,394,Not satisfied
67,6568,303,14-Jan-25,202,Not satisfied
71,11143,1005,23-Jul-25,1993,Not satisfied
76,491,5439,05-Oct-25,2018,Not satisfied
82,2233,7599,26-Apr-25,6,Not satisfied
87,9125,3114,20-Nov-25,1989,Not satisfied
88,9880,618,30-May-25,6994,Not satisfied
89,1775,1384,09-Dec-25,685,Not satisfied
93,9199,7659,28-Mar-25,190,Not satisfied
115,7801,1867,20-Sep-25,131,Not satisfied
122,4293,5168,16-Aug-25,207,Not satisfied
123,7209,6517,22-Oct-25,192,Not satisfied
124,3834,6038,13-Jul-25,195,Not satisfied
131,9442,1743,14-Mar-25,402,Not satisfied
138,3865,1834,08-Oct-25,4007,Not satisfied
139,4086,3030,20-Apr-25,706,Not satisfied
147,9572,6293,15-Nov-25,200,Not satisfied
148,7355,5602,11-Jul-25,6998,Not satisfied
157,9698,3265,08-Aug-25,196,Not satisfied
168,6201,2829,22-Oct-25,218,Not satisfied
169,5074,6296,29-Oct-25,206,Not satisfied
178,3093,7802,17-Dec-25,4,Not satisfied
184,1928,7220,15-Jan-26,187,Not satisfied
191,200,1082,02-Dec-25,696,Not satisfied
200,5552,7894,07-Aug-25,207,Not satisfied
203,2164,2416,11-Dec-25,6,Not satisfied
206,9761,5344,21-Nov-25,1986,Not satisfied
207,11001,3174,09-Oct-25,388,Not satisfied
210,8346,4302,06-Jul-25,3997,Not satisfied
219,4882,428,07-Apr-25,10,Not satisfied
224,5513,5943,27-Apr-25,197,Not satisfied
225,11570,6429,27-Jun-25,398,Not satisfied
226,5980,6234,08-Feb-25,698,Not satisfied
228,9797,1576,14-Dec-25,12,Not satisfied
229,56,5143,13-Jun-25,3994,Not satisfied
241,3361,6102,15-Dec-25,3,Not satisfied
244,10593,1795,22-Nov-25,2002,Not satisfied
254,4820,2727,13-Oct-25,2002,Not satisfied
257,6957,6619,22-Mar-25,192,Not satisfied
258,11193,1230,11-Oct-25,181,Not satisfied
259,5267,7339,17-May-25,206,Not satisfied
263,5685,1094,31-Jan-25,158,Not satisfied
267,10533,4008,13-Apr-25,190,Not satisfied
284,8704,828,30-Jun-25,3989,Not satisfied
294,7474,4599,18-Dec-25,208,Not satisfied
313,2392,5165,04-Oct-25,403,Not satisfied
314,2316,5379,13-Aug-25,214,Not satisfied
321,9976,5287,14-Feb-25,6995,Not satisfied
322,3405,3946,06-Jun-25,14,Not satisfied
329,3169,7483,26-Sep-25,6994,Not satisfied
331,9696,6437,10-Jan-26,1998,Not satisfied
333,4581,2407,31-Mar-25,9,Not satisfied
340,7003,2451,24-Feb-25,683,Not satisfied
341,7864,4558,08-Aug-25,7,Not satisfied
352,2261,6008,04-Dec-25,404,Not satisfied
353,6444,3163,14-Aug-25,3,Not satisfied
362,4272,2284,16-Apr-25,190,Not satisfied
371,6832,2070,05-Feb-25,392,Not satisfied
376,6552,2672,10-Dec-25,727,Not satisfied
380,11061,1748,28-Jul-25,6,Not satisfied
391,3808,2823,01-Feb-25,203,Not satisfied
394,10135,3680,16-Jun-25,402,Not satisfied
404,808,2719,09-Jun-25,696,Not satisfied
405,11285,2814,06-Feb-25,700,Not satisfied
409,3615,5903,02-Mar-25,4010,Not satisfied
423,8000,2899,14-Apr-25,2001,Not satisfied
426,8597,580,09-Feb-25,197,Not satisfied
427,8257,7839,11-Nov-25,402,Not satisfied
431,9195,4519,07-Feb-25,414,Not satisfied
443,11803,6634,31-Dec-25,5,Not satisfied
448,4846,150,16-Mar-25,129,Not satisfied
452,10555,1402,24-Mar-25,389,Not satisfied
460,6989,1987,08-Feb-25,213,Not satisfied
471,11434,4704,08-Mar-25,145,Not satisfied
472,9441,3766,20-Nov-25,3,Not satisfied
474,9510,263,12-Feb-25,199,Not satisfied
475,5799,5962,12-Aug-25,1,Not satisfied
476,10882,5257,25-Mar-25,405,Not satisfied
483,7497,4229,27-Dec-25,191,Not satisfied
491,11947,2407,09-Mar-25,139,Not satisfied
492,11742,6,20-Feb-25,2008,Not satisfied
495,3694,3501,14-Jan-26,8,Not satisfied
498,4972,4153,19-Jan-25,4012,Not satisfied
506,3159,6631,10-Oct-25,405,Not satisfied
508,6183,6474,07-Dec-25,3995,Not satisfied
512,9409,2775,31-Jul-25,1999,Not satisfied
525,10957,2122,15-Jun-25,386,Not satisfied
526,5327,5611,17-Dec-25,401,Not satisfied
540,5226,817,09-Feb-25,207,Not satisfied
543,10158,11,19-Jun-25,2012,Not satisfied
555,7896,4684,25-Sep-25,388,Not satisfied
557,1232,761,09-Feb-25,14,Not satisfied
558,9717,7456,10-Apr-25,2,Not satisfied
559,5445,1464,21-Oct-25,702,Not satisfied
568,2864,6936,26-Aug-25,1988,Not satisfied
569,3703,7803,18-Dec-25,7003,Not satisfied
572,8993,6488,10-Oct-25,190,Not satisfied
576,11510,6276,12-Jan-26,222,Not satisfied
578,4504,6484,19-Jul-25,3988,Not satisfied
582,11279,1472,10-Aug-25,3995,Not satisfied
586,3759,5566,18-Mar-25,406,Not satisfied
593,8586,6642,18-Sep-25,7007,Not satisfied
598,9585,817,10-Dec-25,1992,Not satisfied
603,9398,5453,21-Oct-25,3993,Not satisfied
607,4362,1002,10-Dec-25,399,Not satisfied
617,1979,7293,31-Aug-25,202,Not satisfied
629,5793,5961,04-Nov-25,4,Not satisfied
633,8895,4116,15-Feb-25,403,Not satisfied
635,6693,2319,16-Sep-25,428,Not satisfied
639,7247,4516,23-Mar-25,383,Not satisfied
650,11981,7924,26-Jul-25,695,Not satisfied
652,3167,7382,16-Dec-25,224,Not satisfied
656,2020,2080,17-Jan-26,374,Not satisfied
664,10033,2117,04-Oct-25,686,Not satisfied
668,11723,2379,08-Jan-26,389,Not satisfied
671,1153,3164,20-Oct-25,700,Not satisfied
697,7683,7178,06-Sep-25,3994,Not satisfied
704,5372,5210,10-Oct-25,193,Not satisfied
707,11429,3332,30-Jul-25,3991,Not satisfied
717,6870,6219,10-Feb-25,411,Not satisfied
732,2177,4570,18-Jun-25,404,Not satisfied
741,11169,7006,19-Jan-25,378,Not satisfied
750,914,5955,27-Mar-25,699,Not satisfied
755,4287,6433,04-May-25,199,Not satisfied
764,5222,4119,16-Jan-25,1973,Not satisfied
766,11301,7134,05-Oct-25,132,Not satisfied
770,11633,4779,02-Jul-25,712,Not satisfied
771,5716,6427,26-Jun-25,215,Not satisfied
775,8620,4148,06-Feb-25,7004,Not satisfied
796,9860,1932,05-Oct-25,401,Not satisfied
797,3553,3602,03-Nov-25,199,Not satisfied
805,5741,240,07-Mar-25,720,Not satisfied
849,10343,1785,20-Apr-25,399,Not satisfied
850,6890,124,25-Mar-25,3999,Not satisfied
856,879,6801,20-Jan-25,138,Not satisfied
861,2809,5717,11-Apr-25,700,Not satisfied
865,4325,246,22-Jan-25,210,Not satisfied
868,130,7002,27-Apr-25,4009,Not satisfied
869,6656,6322,18-Jan-26,146,Not satisfied
893,6099,498,14-Mar-25,3,Not satisfied
895,10810,1321,19-Oct-25,694,Not satisfied
917,6037,7522,29-May-25,10,Not satisfied
919,8560,3680,02-Apr-25,10,Not satisfied
926,1718,6363,21-Jun-25,212,Not satisfied
927,9366,7228,19-Dec-25,187,Not satisfied
933,7264,5820,03-Aug-25,185,Not satisfied
937,6669,3719,22-Sep-25,10,Not satisfied
943,4384,2739,14-Nov-25,706,Not satisfied
948,7553,288,12-Dec-25,394,Not satisfied
953,5238,931,03-Oct-25,401,Not satisfied
957,10310,2263,12-May-25,412,Not satisfied
959,11089,7981,09-Feb-25,710,Not satisfied
960,6902,5163,07-Aug-25,194,Not satisfied
971,3586,4584,31-Aug-25,417,Not satisfied
976,7978,6710,28-Jan-25,149,Not satisfied
981,11219,211,20-Jul-25,215,Not satisfied
982,5132,5827,18-Aug-25,16,Not satisfied
987,11439,4455,17-Jul-25,202,Not satisfied
989,11566,5019,16-Jun-25,401,Not satisfied
999,8641,3021,16-Apr-25,150,Not satisfied
1000,2277,5832,14-Oct-25,198,Not satisfied
1002,10467,6586,06-Feb-25,147,Not satisfied
1003,6697,6192,20-Aug-25,4020,Not satisfied
1007,136,2910,09-Dec-25,2006,Not satisfied
1017,2006,468,23-Aug-25,7011,Not satisfied
1025,11487,3776,02-Sep-25,399,Not satisfied
1028,731,1261,22-Mar-25,5,Not satisfied
1030,10846,1077,18-Apr-25,184,Not satisfied
1033,924,7920,22-Dec-25,4008,Not satisfied
1040,11276,3097,13-Aug-25,694,Not satisfied
1048,10764,6594,30-Sep-25,206,Not satisfied
1051,6003,4453,16-Jan-25,698,Not satisfied
1052,8591,3965,03-Aug-25,392,Not satisfied
1060,11749,7042,11-Nov-25,207,Not satisfied
1072,2487,3528,17-Dec-25,192,Not satisfied
1075,5970,3409,10-Jun-25,7012,Not satisfied
1079,7564,4708,22-Jul-25,2,Not satisfied
1102,2851,2987,08-Jun-25,204,Not satisfied
1103,9256,7973,23-Aug-25,1991,Not satisfied
1111,8151,6314,19-May-25,3997,Not satisfied
1112,246,5293,10-May-25,7001,Not satisfied
1128,3562,6163,15-Aug-25,6991,Not satisfied
1160,10151,584,16-Nov-25,395,Not satisfied
1163,6311,2331,22-Nov-25,206,Not satisfied
1164,636,6126,09-Oct-25,155,Not satisfied
1166,1234,6322,25-Feb-25,697,Not satisfied
1168,2033,141,01-May-25,677,Not satisfied
1170,4225,5090,22-Feb-25,407,Not satisfied
1171,7372,6472,08-Feb-25,195,Not satisfied
1176,11698,7300,21-Mar-25,4,Not satisfied
1182,2717,3046,18-Feb-25,2016,Not satisfied
1193,377,7166,21-Jan-25,6987,Not satisfied
1198,9782,4266,08-Apr-25,148,Not satisfied
3,7652,3247,29-Jul-25,14,Accidental purchase
17,444,2093,06-Jan-25,3999,Accidental purchase
18,6124,3685,23-Nov-25,2002,Accidental purchase
35,9870,3938,07-Mar-25,404,Accidental purchase
48,6716,5114,11-Jan-25,4004,Accidental purchase
49,9955,3365,27-Sep-25,1,Accidental purchase
60,1090,5627,07-Nov-25,183,Accidental purchase
61,3395,5741,31-Aug-25,423,Accidental purchase
75,5531,2133,02-Feb-25,1997,Accidental purchase
78,9278,866,09-Jun-25,1991,Accidental purchase
94,9845,5099,28-Feb-25,1996,Accidental purchase
97,10907,4302,17-Oct-25,3986,Accidental purchase
107,10210,4677,05-Sep-25,155,Accidental purchase
113,1025,3761,01-Apr-25,381,Accidental purchase
119,7910,3570,05-May-25,2007,Accidental purchase
127,6563,6586,13-Jul-25,3997,Accidental purchase
140,454,4973,15-Apr-25,403,Accidental purchase
142,4852,4768,07-Jun-25,692,Accidental purchase
151,603,7530,11-Apr-25,2014,Accidental purchase
167,1869,6837,06-Nov-25,4003,Accidental purchase
171,804,7987,18-Jul-25,186,Accidental purchase
172,7580,6251,21-Nov-25,405,Accidental purchase
176,9847,2193,10-Jul-25,6998,Accidental purchase
181,4970,7128,25-Feb-25,398,Accidental purchase
188,8029,3709,30-Nov-25,409,Accidental purchase
194,8840,3115,22-Nov-25,706,Accidental purchase
195,7401,7171,14-Apr-25,208,Accidental purchase
199,10612,3647,04-Feb-25,4005,Accidental purchase
212,10165,1735,20-Oct-25,395,Accidental purchase
231,3715,801,10-Dec-25,11,Accidental purchase
236,8084,2145,02-Aug-25,3985,Accidental purchase
238,11173,4604,11-Nov-25,4007,Accidental purchase
239,363,4858,24-Sep-25,197,Accidental purchase
247,7137,2864,05-Aug-25,10,Accidental purchase
249,8603,7262,28-Dec-25,704,Accidental purchase
256,11477,6380,05-Oct-25,6998,Accidental purchase
265,4047,1983,22-Jul-25,8,Accidental purchase
270,6092,747,01-Jan-26,189,Accidental purchase
271,5591,4323,14-Jul-25,206,Accidental purchase
276,2976,6228,29-Nov-25,211,Accidental purchase
277,3145,6656,20-Jan-25,7000,Accidental purchase
293,9140,618,01-Sep-25,7018,Accidental purchase
296,5107,7510,18-Oct-25,702,Accidental purchase
297,977,4834,15-Feb-25,4002,Accidental purchase
301,10710,2339,24-Jul-25,4,Accidental purchase
302,6176,671,15-Jan-25,3,Accidental purchase
306,3182,6696,11-Sep-25,4010,Accidental purchase
311,9,1414,01-Jan-26,693,Accidental purchase
320,2580,7602,24-Sep-25,6,Accidental purchase
325,9208,3455,29-Mar-25,13,Accidental purchase
326,7711,7679,13-Jul-25,383,Accidental purchase
343,2087,665,06-Sep-25,3990,Accidental purchase
370,8555,5280,20-Dec-25,191,Accidental purchase
377,141,5796,17-Jan-26,178,Accidental purchase
378,10777,4044,15-Sep-25,3997,Accidental purchase
398,2339,2530,03-Jul-25,1,Accidental purchase
402,8199,5741,01-Sep-25,2,Accidental purchase
406,10482,4490,05-Jun-25,396,Accidental purchase
413,9694,7228,29-Sep-25,202,Accidental purchase
415,8147,2166,08-Jan-25,4,Accidental purchase
424,3731,2961,23-Jul-25,3,Accidental purchase
432,10853,727,29-Jul-25,398,Accidental purchase
434,7739,7131,23-Jul-25,690,Accidental purchase
444,6650,7743,02-Nov-25,689,Accidental purchase
445,5240,6890,27-Nov-25,699,Accidental purchase
449,9413,3807,11-Oct-25,403,Accidental purchase
450,11786,5304,08-Mar-25,412,Accidental purchase
453,1398,7930,23-Apr-25,4008,Accidental purchase
462,5207,6118,13-Apr-25,3981,Accidental purchase
463,8972,4851,19-Dec-25,399,Accidental purchase
466,2260,229,31-Dec-25,693,Accidental purchase
482,8478,624,01-Dec-25,1994,Accidental purchase
490,9580,1574,04-Feb-25,139,Accidental purchase
496,11637,5930,28-Aug-25,214,Accidental purchase
503,2309,1034,02-Apr-25,415,Accidental purchase
504,9864,2867,30-Nov-25,413,Accidental purchase
505,5789,1426,05-Apr-25,415,Accidental purchase
507,9399,4552,18-Jun-25,402,Accidental purchase
510,4187,3943,05-Jun-25,7,Accidental purchase
517,10638,6375,10-Jul-25,398,Accidental purchase
530,3561,618,14-Jul-25,710,Accidental purchase
541,9356,7767,05-May-25,204,Accidental purchase
551,3920,1778,08-Nov-25,210,Accidental purchase
571,3224,2312,20-Nov-25,151,Accidental purchase
574,9198,5178,27-Oct-25,14,Accidental purchase
575,6848,5361,27-Jun-25,2006,Accidental purchase
587,10716,4114,18-Feb-25,19,Accidental purchase
591,2296,756,02-Jan-26,379,Accidental purchase
594,191,840,16-Jul-25,700,Accidental purchase
597,10445,1753,15-Mar-25,2000,Accidental purchase
599,5516,4684,02-May-25,388,Accidental purchase
606,11428,7684,26-Mar-25,168,Accidental purchase
612,411,1777,20-Jun-25,1990,Accidental purchase
615,2075,4310,01-Jun-25,3995,Accidental purchase
618,5520,6659,26-Feb-25,187,Accidental purchase
627,3736,3902,04-Aug-25,387,Accidental purchase
628,8774,1397,21-Jul-25,198,Accidental purchase
630,4524,906,02-Dec-25,155,Accidental purchase
637,1531,1897,14-Feb-25,697,Accidental purchase
647,184,5213,03-Jul-25,701,Accidental purchase
662,11930,6052,27-Aug-25,2000,Accidental purchase
672,1304,6290,21-Jul-25,200,Accidental purchase
675,8527,7064,05-Feb-25,3986,Accidental purchase
683,1516,2492,27-May-25,202,Accidental purchase
687,4689,6386,03-Jun-25,187,Accidental purchase
691,3238,3312,30-Jan-25,1980,Accidental purchase
699,5068,1324,14-Nov-25,196,Accidental purchase
701,10993,4004,13-May-25,3981,Accidental purchase
703,9075,5585,27-Nov-25,7012,Accidental purchase
711,8602,5173,03-Mar-25,2002,Accidental purchase
715,10219,7345,20-Nov-25,201,Accidental purchase
720,1296,7576,23-Jun-25,192,Accidental purchase
722,1074,2865,19-Dec-25,398,Accidental purchase
743,9251,5570,31-Oct-25,210,Accidental purchase
756,5108,5420,20-Nov-25,704,Accidental purchase
760,10901,2228,22-Aug-25,4008,Accidental purchase
765,9858,2404,21-Apr-25,1999,Accidental purchase
777,3210,6060,31-Mar-25,1985,Accidental purchase
795,8439,4856,23-Jun-25,7027,Accidental purchase
799,10485,5124,17-May-25,3,Accidental purchase
800,9106,3247,07-Jan-25,404,Accidental purchase
801,1502,7371,11-Apr-25,6997,Accidental purchase
811,9227,581,20-Mar-25,1986,Accidental purchase
812,7886,2489,09-Dec-25,407,Accidental purchase
820,4908,4585,23-Mar-25,4005,Accidental purchase
825,5368,2022,26-Aug-25,389,Accidental purchase
827,6528,6744,12-Dec-25,180,Accidental purchase
832,1896,4767,06-Feb-25,2007,Accidental purchase
834,2034,167,20-Dec-25,702,Accidental purchase
842,1048,7953,12-Feb-25,11,Accidental purchase
845,11534,2435,30-Mar-25,6993,Accidental purchase
846,5353,5278,19-Jun-25,692,Accidental purchase
853,6506,3890,14-Jan-26,690,Accidental purchase
864,4711,3143,21-Oct-25,688,Accidental purchase
871,714,677,04-Feb-25,403,Accidental purchase
876,5029,5167,24-Apr-25,3996,Accidental purchase
883,3465,5485,20-Jun-25,4025,Accidental purchase
889,4916,1064,24-Jul-25,3,Accidental purchase
896,7368,7713,24-Mar-25,687,Accidental purchase
897,11263,2719,29-Aug-25,707,Accidental purchase
907,10672,4061,24-Apr-25,12,Accidental purchase
921,6553,6162,19-May-25,6998,Accidental purchase
922,3717,1148,11-Dec-25,397,Accidental purchase
935,7415,5102,20-Sep-25,721,Accidental purchase
939,9086,7839,09-Feb-25,398,Accidental purchase
942,4663,7349,04-Apr-25,1991,Accidental purchase
949,9777,1560,11-Apr-25,191,Accidental purchase
950,4614,1385,22-Sep-25,210,Accidental purchase
952,3030,767,01-Sep-25,4,Accidental purchase
954,4294,7865,23-Jun-25,155,Accidental purchase
964,2587,2964,22-Jan-25,401,Accidental purchase
972,4919,2147,28-Jun-25,702,Accidental purchase
978,8565,6083,16-Nov-25,199,Accidental purchase
985,6603,7247,04-Oct-25,396,Accidental purchase
986,3250,1909,21-Jan-25,391,Accidental purchase
990,552,1981,12-Nov-25,4005,Accidental purchase
992,5468,2610,08-Jan-26,396,Accidental purchase
993,668,5144,15-May-25,197,Accidental purchase
994,10483,1852,14-Jan-25,396,Accidental purchase
997,7314,1637,17-Jan-25,203,Accidental purchase
998,4987,3013,11-Jan-25,17,Accidental purchase
1005,4112,1746,14-Jul-25,5,Accidental purchase
1012,1746,7722,11-Mar-25,6992,Accidental purchase
1014,7821,5419,31-Jan-25,673,Accidental purchase
1015,1714,7147,21-Mar-25,23,Accidental purchase
1020,8280,7251,09-Sep-25,3987,Accidental purchase
1022,4167,5447,15-Jun-25,405,Accidental purchase
1026,10058,4187,19-Apr-25,4011,Accidental purchase
1034,916,2151,07-Jul-25,2002,Accidental purchase
1036,6255,668,29-Aug-25,417,Accidental purchase
1037,8853,5143,21-Dec-25,6996,Accidental purchase
1042,543,5761,06-Jun-25,703,Accidental purchase
1043,5871,858,11-Jul-25,377,Accidental purchase
1047,11877,3295,04-Aug-25,4004,Accidental purchase
1054,22,6728,29-Jan-25,1993,Accidental purchase
1056,8625,4040,31-Jan-25,424,Accidental purchase
1061,10803,1738,24-May-25,392,Accidental purchase
1068,7306,7669,18-Mar-25,190,Accidental purchase
1073,2465,1767,03-Apr-25,1993,Accidental purchase
1076,6562,2333,22-Jan-25,710,Accidental purchase
1085,8900,7049,12-Dec-25,398,Accidental purchase
1086,5324,7857,25-Apr-25,392,Accidental purchase
1087,6509,7093,21-Mar-25,4008,Accidental purchase
1094,2448,5040,18-Apr-25,396,Accidental purchase
1098,10241,5762,30-Jun-25,682,Accidental purchase
1104,3267,6329,09-Oct-25,685,Accidental purchase
1109,10043,7164,27-Apr-25,7000,Accidental purchase
1114,171,3198,04-Dec-25,709,Accidental purchase
1116,5987,6854,02-Jan-25,391,Accidental purchase
1126,6770,5270,01-Aug-25,394,Accidental purchase
1135,3722,6794,22-Apr-25,4000,Accidental purchase
1141,4735,4334,13-Feb-25,7021,Accidental purchase
1148,7009,916,11-Jun-25,1979,Accidental purchase
1149,1790,4623,01-Sep-25,403,Accidental purchase
1151,3789,5480,19-Apr-25,4000,Accidental purchase
1156,10639,3424,23-Apr-25,161,Accidental purchase
1159,8995,7662,09-Sep-25,408,Accidental purchase
1165,11321,7704,13-May-25,220,Accidental purchase
1167,1532,2815,01-Mar-25,2001,Accidental purchase
1169,11542,565,04-Dec-25,205,Accidental purchase
1175,443,7572,20-Apr-25,20,Accidental purchase
1181,6156,1128,28-Sep-25,1993,Accidental purchase
1183,1798,7151,21-Jan-25,20,Accidental purchase
1191,401,166,03-May-25,13,Accidental purchase
1195,11229,225,18-Apr-25,190,Accidental purchase
5,5019,6823,27-Jul-25,2010,App issues
19,7592,1188,01-Oct-25,406,App issues
